"name","review","vote","overall","story","cast","music","rewatch"
"dramaqueen4life","this is one of the worst dramas i've seen..at first look it sounds amazing but few episodes into it one feels like throttling the writer ..this could have been a gem of a show coz d heroine was pretty..the hero was good looking too but in between it jst went downhill.i coulnt understand how a guy like that managed to have the gal like that in his life.even though she's dumb she's vry kind hearted and hard working so it more or less makes up for the dumb part.i hated the hero's coldness.i didnt find any chemistry in between them and if a guy treated a girl like that im sure the girl would run far away.atleast i would.this could have been a good drama but alas..blame it on the bad directing and the writing part","14","4.0","5.0","5.0","5.0","4.0"
"Momo-8-","I'm not sure where to start. I watched the anime version, and at least there was some growth or change in the story by the end. Usually the drama adaptations are better. But not in this case. I watched the entire series. I'm not even sure why it went on for 16 episodes.The thing that really bothers me is that Kim Hyun Joong's character is so static and unmoving, it eventually makes me feel bitter and resentful towards Jung So Min's character.Jung's character is adorable and hard working. I'm not sure why everyone is expecting her to change, since the obvious purpose of this show is to illustrate how Kim's character opens his heart after unconditional love and kindness. I think ultimately people get upset with Ha Ni because it seems like she loses all respect for herself.Beyond that, Kim's acting is almost worse in this show than Boys Before Flowers. It's like he doesn't even try to be a different character with different mannerisms. Kim's starring role in shows should just be for him to stand and look pretty since it hurts whenever he tries to act. It's okay if you hate me for saying that.I should try to say something nice about this drama.... I like the parents, Jung's character and her friends. I liked the mother-daughter relationship that Ha Ni and Seung Jo's mom have. I think the story itself has the potential to be good. It's just not.","9","3.0","3.0","6.0","4.0","1.0"
"Ari","Great Drama, My first one actually that was put into Netflix. Let me break it down in four categories.Story: The story is exactly like the original, although i've never watched the original i recommend you watching this one even though its extremely cheesy at first, after a while it gets much more better.Acting/Cast : The cast never left my eyes a stray, they knew what they were doing and how to do it. I doubt you'll be annoyed by any of their characters except for when the drama scenes pop up, haha.Rewatch Value : If you like to watch funny moments, mean moments that will still make you laugh, the cheesiness, i really recommend you watch it over.Overall : Basically the story starts off slow, but you'll fall in love with the cast as you go along into the story. It just keeps getting more and more better as you watch, This drama will not disappoint. and you have my word!~ Ariana","10","9.0","10","9.0","8.0","9.0"
"moganapriya","i really love this drama.. its short and sweet.. its far better than thetaiwan version.. kim hyun joong is super cool in this drama and the female lead is also so cute.. i think taiwan version is more dragging the story.. but i think playful kiss is a colorful drama.. a must watch.. in bof kim hyun joong was so sweet that i wanted the female lead to marry him at the last but since it didnt end like that it didnt satisfy me.. but in playfull kiss they both were awesome and i had watched it more than 10 times and i still wanted to watch it.. especially baek seung jo's mom was very good and charming..","11","10","9.0","10","10","10"
"mangoman73","To this day, I don't know why I finished watching this. I don't want to be harsh on this drama, because I'm sure for some people it was wonderful, but for me it bordered on traumatic.Firstly, there are some elements of this which are nice. The cast are attractive and the female lead, Oh Ha Ni has a somewhat sute manner that is engaging.The problems I have with this drama are the following:1) Kim Hyun Joong. Attractive as hell? Yes. Fantastic actor? No. I believe Kim Hyun Joong improves on his previous efforst in this drama but the combination of him having a limited acting repertiore combined with a terrible script makes his character hard to love. And by hard to love, I mean vomit-worthy.2) The plot. If I want to spend a girl waste YEARS of her life chasing after a bastard, I'll pay attention to the love lives of those random people I knew in high school that I am now Facebook friends with. This story goes absolutely nowhere. NOWHERE.3) The message. This show is basically about a girl who is not very smart, being ridiculed when she confesses her love by a smart guy who is a real *insert expletive here*. She chases after him, he shuts her down, she keeps chasing, he leads her on, repeat. Yes girls, it doesn't matter if there is nothing good about him and he treats you horribly, keep going back for more. He's attractive, so it's worth it. She then continues to build her WHOLE LIFE around him. Enough said.4) The ending. I guess I watched this through to the finish in the hope that the ending would feature a whole heap of Kim Hyun Joong being like ""I'm sooo sorry, I thought I was so great, but really, I'm lucky you put up with me...""This did not happen. I'm sure many people were like ""Yay! Dating and marriage!"" However, even after they became a couple, he was still a %$#@*& and she became ridiculously neurotic (partially thanks to KHJ again, but still). Even when he does nice things, he does them so that WE, the AUDIENCE, know, but she HIS GF/WIFE never does. What a great guy.I couldn't feel any connection with the characters from this as I find  one lead to be a bully, and the other to be a chronic victim. I feel that if there had been a little bit of equality in their relationship I may have found this passable, I think it would have been watchable, if a bit boring. As it was, I felt a little ashamed that this story has an audience, because it is not a type of relationship I can ever understand.","8","3.0","4.0","2.0","5.0","1.0"
"DramaNoona","This review will go against the popular view, but I just couldn’t get truly invested in Playful Kiss.  It was the third drama I watched and after the first episode I turned it off.  It was too over the top, too campy, too much of everything, and not enough of anything to draw me in.  I went back to watching something that I can’t remember now, because through Hulu there weren’t that many Korean, Taiwanese, or Japanese dramas to choose from that I could easily find.  Combined with the fact I hadn’t really become fully addicted which meant I just didn’t take the time to look around I just moved on instead of trying something else.  However, after about a week or so I decided to give Playful Kiss another shot.  The second episode wasn’t as bad and the third was alright, and so on and so forth.  But, I just never really felt invested in the story or involved in the characters like I had with City Hunter and Boys Over Flowers.  I picked this drama because I absolutely loved Kim Hyun Joong in Boys Over Flowers, that was my only reason.  I learned my lesson about watching a drama just for a bias and now I do my research about the story and reviews before devoting my time.I really liked the idea of the story.  Girl has a huge crush on arrogant boy, a series of unfortunate events has the two families living together, and slowly arrogant boy sees the girl as his soul mate.  A totally sweet and cute idea and I was pretty excited to see it.  However, for me the execution of the story was lacking.  I kept wanting to like it, kept wanting to have it move me, kept wanting more from the show.  It just never got me in the feels.Throughout the entire shore I saw little growth in the characters themselves, they remained as immature and aloof as they were when the show began.  I wanted to see more development of Oh Ha Ni, there was so much they could have done to show her growing up.  Yet she remained perpetually a child in actions and mentality.  Then Baek Seung Jo never seemed to change, he began as a narcissistic and egotistical character and ended exactly the same.  Once Baek Seung Jo admitted that he loved Oh Ha Ni he was as cold to her as he had been when he hated her.  There was no warmth, no affection, and certainly no chemistry between them.  For me the main couple totally fell short, and left me cool.Even though the lead couple didn’t really meet my expectations, I loved the secondary couple.  Bong Joon Gu and Chris were absolutely adorable!  The moment she came into the noodle house and stared at Bong Joon Gu with that puppy love gaze I loved them.  There was real emotion there and reaction.  However, the bromance of the fathers Oh Ki Dong and Baek Soo Chang was amazing.  Every time they had a scene together I loved it!  They were just cute together and I wanted to see more of them.  On top of that Oh Ha Ni’s relationship with her father, Oh Ki Dong was lovely.  Their moments almost made up for the lack of feeling between Oh Ha Ni and Baek Seung Jo.I also really enjoyed the big reveal kiss in the rain.  Even though I didn’t care for the series as much as I wanted to, that kiss is in my top five best kisses.  For that moment, for whatever reason, the leads made me believe that they were in love.  I just wish that passion and fire had carried through to the episodes after the kiss.Playful Kiss just dragged for me.  If it were me now as opposed to six months ago I would have stopped watching and just moved on to something else.  However, back then I felt guilty for not sticking with a show from beginning to end.  But with full time work, a husband, and a rambunctious five year old I just don’t have the free time to commit to a show that doesn’t immediately capture my heart.Noona's RatingOverall: 7 (I rated this 3 stars on DramaFever.com)Story/Writing: 7Cast/Actors: 7OST: 7Sets/Costumes: 8Feels: 6","7","7.0","7.0","7.0","7.0","7.0"
"cityhunter","THERE ARE ONLY TWO GOOD THINGS ABOUT THIS DRAMA.1. THE MALE LEAD IS OBSCENELY GOOD LOOKING.2. THE FEMALE LEAD IS LESS ANNOYING IN THIS THAN SHE WAS IN BAD GUY.I REALLY WANTED TO LIKE THIS DRAMA, BUT THE TWO LEADS WERENT THAT LIKEABLE. ONE WAS ANNOYING AND THE OTHER WAS A HORRIBLE HUMAN BEING. IT'S HARD TO GET INTO SOMETHING WHEN THE WHOLE TIME YOU'RE DOING THE FACE PALM.","16","2.0","3.0","6.0","5.0","1.0"
"eunmia","Kim Hyun Joong has as many emotions as a toilet seat, the plot was blatantly stretched and boring. This must be one of the worst dramas I've watched. Just the whole idea of having a drama like this, what were the script writers and producers thinking? Feels like it was written by a couple of 10 year olds.","9","4.0","3.0","4.0","8.0","4.0"
"coming_dreams","So first of all, this drama was my first ever korean drama I have ever watched in my life. My friend recommended this drama to me and after I started watching it, I found out that it was the Korean version of It Started With a Kiss. ISWAK was my first Taiwanese drama I remembered(I watched many dramas when I was younger but I don't remember them as well) and I thought it was fair.Story: Let's say, to be honest, there isn't much of a real plot going on. It's just the girl trying to win the guy over, basically, for the entire 16 episodes. Yes, it does get boring at some parts. First it's the I-hate-you-but-you-just-keep-coming-to-me kind of relationship which I really don't understand. I did not hate this drama like some people do, I also do not LOVE this drama either. I think it's a drama to watch if you have a lot of free time and nothing to do(preferably in the summer).Acting/Cast: First off, I don't feel the two leads have much chemistry between each other, at all. Jung So Min acted her character well but it's a very light drama, so then again you don't need to possess great talent to be able to act in Playful Kiss. Kim Hyun Joong was alright, I'm not a squealing fan girl for him because I haven't seen any dramas besides PK with him in it. Overall, the acting was alright, nothing actually stood out.Music: I watched this too long ago to remember the music. :/Re-watch value: Well, I typically don't re-watch dramas. I only re-watch if they are masterpieces like The Princess' Man. So giving this a 6 is a fair choice because there are some sweet funny moments that made me laugh.Overall: I wouldn't call this a terrible drama. You just need to have patience to watch it. I recommend this drama to people who just want a light drama to watch when they have nothing to do.","7","6.0","6.0","7.0","6.0","6.0"
"Naye","I liked the first episodes, the main female character made me laugh a lot and I found cute some parts, but then the story started to be unbearable for me. Does Oh Hani have any self-respect? pride? It doesn't seem so. Seung Jo was REALLY MEAN to her but she was there showing her sick love for him anyways. No chemistry between characters. Horrible example of romance (treat the female as shit, she'll be happy if you kiss her anyways). Kim Hyun Joong have the same facial expression (poker face)  every single episode.I couldn't even finish it.","7","4.0","3.0","3.5","9.0","1.0"
"dapinaymrs","And to think this drama got me into the wonderful world of Kdrama. *Hides face in palms, shakes head and groans mentally*Yes, this drama launched Kim Hyun Joong into notable fame in SE Asia (and other parts of the world, I presume) as a follow-up role from Boys Over Flowers (how our hearts bled for Ji Hoo). He is, in this series--Baek Seung Jo, a genius who is the object of affection--or should we say obsession--of Oh Ha Ni.If you've done any research on this story, you might have taken note that it's based off the manga 'Itazura na Kiss.' As I became increasingly irritated by Oh Ha Ni's blind devotion to Baek Seung Jo, I tried to search for the original story and check if there were any deviation from it. Surprisingly, there were NONE. And if there were, they were minuscule and hardly noticeable.Ah but even if Jung So Min acted so naturally, she could have been so much more. And Kim Hyun Joong...I don't even want to go there.Story - you can live without itRewatch value - are you kidding me?","8","6.0","5.0","7.0","8.0","3.0"
"LMHftw","Story:This story was very funny and interesting. It was the first time I had ever seen something so absurd when it came to love. I found it interesting and was always wondering what will happen in the next episode. It was a fluffy and cute type of drama. However, I will admit the storyline was pretty simple... a girl chasing someone she loves fullstop. There wasn't really any interesting history or big secret or anything in this drama.Acting/Cast:Kim Hyun Joong is a great person... but he can't act. I wouldn't have even been able to tell he liked her. Ever. In my whole life. He had no emotions, whatsoever. Occasionally when he flashed his cute mouse smile it made me think he did have emotions... but yeah that was about it. Jung So Min was pretty alright, I guess she made up for Kim Hyun Joong being so bland, because she was pretty crazy. The second male lead... Bong Joon Gu. Oh my goodness. So annoying. He was so annoying. However I have to admit he kinda made the drama a bit funnier.Music:The music from this drama is nice. It doesn't really leave a huge impression on me. One of the songs from this OST may come up in my iTunes library occasionally and I think 'oh this is from playful kiss'... but it never really makes me want to go and watch the drama again.Rewatch?Of course! Although the acting isn't that great and the story is pretty simple, it is a nice, fun drama to watch. Even if Kim Hyun Joong can't act that well, he is still good to look at for 16hours.Overall:It is still one of those dramas that a Korean drama addict should watch because it is quiet popular. It won't pull any heartstrings but it will make you laugh. It is a light and fun drama to watch.","8","8.0","8.0","7.0","8.0","9.0"
"poloalduchili","I have a soft spot for this one. Everyone kept telling me how the Taiwanese version was supposedly better but I never managed to get past how ugly and stupid the girl looks in it.In this Korean version of the manga, both lead are actually hot: Oh Ah Ni is silly but cute as hell and Baek Seung Ju is just... Well I never thought myself as a masochist until Playful Kiss!The best part of this drama is definitely the two leads, Baek Seung Ju being a selfish arrogant son of a *, horribly frustrating on top of being freakishly hot (not to mention that this role was just PERFECT for Kim Hyun Joong) and Ah Ni so cute and adorable in her misery and gullibility...But overall it is actually quite childish and the supporting roles are often really annoying  (when re-watching it, I always skip those parts) so don't expect something too perfect. I think the drama was stopped before it could run its course and that is why they made the special episodes that are actually the rest of the manga and as important as the rest since for once you get to see what happens AFTER the happy ending.Now PK makes the top 5 for me because of the intensity of the chemistry and tension between the two leads (so important when watching a romance drama) but others might consider it too childish. In any case, it is still a very good one for school/romance/comedy fans.","8","9.0","10","10","8.0","8.0"
"pinkduck89","I wanted to love this show. I mean Boys over Flowers is one of my guilty pleasures that I love watching over and over, but this is nowhere close to that kind of quality. Horribly written with lines that make you groan and feel queasy from sheer cheesiness. The main lead is whiny and annoying and honestly more than a little bit of a stalker. Kim Hyun Joong reprises his role as Jihoo only more of a jerk and less emotional, which I honestly didn't think was possible. His character here makes Jihoo look like a fountain of expression. Honestly, save yourself some time and just watch BoF again.","11","3.0","2.0","4.0","5.0","1.0"
